,region_1,region_2,winery_name,Location1,Location2,Latitude,Longitude
68,Napa Valley,Napa,Courtney Benham winery,Courtney Benham winery Napa Valley,Courtney Benham winery Napa,38.2295748,-122.2567355
69,Dry Creek Valley,Sonoma,Del Carlo Winery winery,Del Carlo Winery winery Dry Creek Valley,Del Carlo Winery winery Sonoma,38.6737924,-122.9366148
70,Paso Robles,Central Coast,MCV winery,MCV winery Paso Robles,MCV winery Central Coast,35.5709732,-120.6959736
71,Dry Creek Valley,Sonoma,Mounts winery,Mounts winery Dry Creek Valley,Mounts winery Sonoma,38.6560516,-122.9460507
72,Napa Valley,Napa,Robert Mondavi winery,Robert Mondavi winery Napa Valley,Robert Mondavi winery Napa,38.4414728,-122.4100923
73,Sonoma Coast,Sonoma,Sixteen by Twenty winery,Sixteen by Twenty winery Sonoma Coast,Sixteen by Twenty winery Sonoma,38.2904205,-122.4594449
74,Finger Lakes,Finger Lakes,Wagner winery,Wagner winery Finger Lakes,Wagner winery Finger Lakes,42.571849,-76.85932489999999
75,Cayuga Lake,Finger Lakes,Treleaven winery,Treleaven winery Cayuga Lake,Treleaven winery Finger Lakes,42.6502224,-76.6333297
76,Napa Valley,Napa,Benessere winery,Benessere winery Napa Valley,Benessere winery Napa,38.55237700000001,-122.506042
77,Finger Lakes,Finger Lakes,Bloomer Creek winery,Bloomer Creek winery Finger Lakes,Bloomer Creek winery Finger Lakes,42.4896626,-76.8702253
78,Willamette Valley,Willamette Valley,Silvan Ridge winery,Silvan Ridge winery Willamette Valley,Silvan Ridge winery Willamette Valley,43.9569254,-123.2645406
79,Santa Barbara County,Central Coast,Testarossa winery,Testarossa winery Santa Barbara County,Testarossa winery Central Coast,34.4141317,-119.6886868
80,Diamond Mountain District,Napa,Meeker winery,Meeker winery Diamond Mountain District,Meeker winery Napa,38.6076751,-122.8672205
81,Napa Valley,Napa,Falcor winery,Falcor winery Napa Valley,Falcor winery Napa,38.2560001,-122.276268
82,Russian River Valley,Sonoma,Hayman & Hill winery,Hayman & Hill winery Russian River Valley,Hayman & Hill winery Sonoma,38.5682268,-122.7711839
83,Finger Lakes,Finger Lakes,Hermann J. Wiemer winery,Hermann J. Wiemer winery Finger Lakes,Hermann J. Wiemer winery Finger Lakes,42.5720217,-76.92809849999999
84,Sonoma Mountain,Sonoma,Work winery,Work winery Sonoma Mountain,Work winery Sonoma,38.2311033,-122.6308115
85,Willamette Valley,Willamette Valley,Amity winery,Amity winery Willamette Valley,Amity winery Willamette Valley,45.127916,-123.193621
86,Alexander Valley,Sonoma,Blue Rock winery,Blue Rock winery Alexander Valley,Blue Rock winery Sonoma,38.735887,-122.961645
87,Willamette Valley,Willamette Valley,Cherry Hill winery,Cherry Hill winery Willamette Valley,Cherry Hill winery Willamette Valley,44.9977684,-123.1856044
88,Amador County,Sierra Foothills,Cloud 9 winery,Cloud 9 winery Amador County,Cloud 9 winery Sierra Foothills,38.5214988,-120.8182701
89,St. Helena,Napa,David Fulton winery,David Fulton winery St. Helena,David Fulton winery Napa,38.51048400000001,-122.4702237
90,Willamette Valley,Willamette Valley,Willamette Valley Vineyards winery,Willamette Valley Vineyards winery Willamette Valley,Willamette Valley Vineyards winery Willamette Valley,44.8277817,-123.0123551
91,Napa Valley,Napa,Beaver Creek winery,Beaver Creek winery Napa Valley,Beaver Creek winery Napa,38.7521768,-122.6150057
92,Santa Maria Valley,Central Coast,Byron winery,Byron winery Santa Maria Valley,Byron winery Central Coast,34.8683768,-120.2473205
93,Sonoma County,Sonoma,St. Francis winery,St. Francis winery Sonoma County,St. Francis winery Sonoma,38.4366522,-122.5765529
94,Napa Valley,Napa,Trailhead winery,Trailhead winery Napa Valley,Trailhead winery Napa,38.3226008,-122.3110318
95,Santa Maria Valley,Central Coast,Cambria winery,Cambria winery Santa Maria Valley,Cambria winery Central Coast,34.877206,-120.260121
96,Dundee Hills,Willamette Valley,J. Christopher winery,J. Christopher winery Dundee Hills,J. Christopher winery Willamette Valley,45.340652,-123.014379
97,Arroyo Grande Valley,Central Coast,Talley winery,Talley winery Arroyo Grande Valley,Talley winery Central Coast,35.1789311,-120.524248
98,Napa Valley,Napa,Parallel winery,Parallel winery Napa Valley,Parallel winery Napa,38.5281371,-122.5022954
99,Paso Robles,Central Coast,Treana winery,Treana winery Paso Robles,Treana winery Central Coast,35.5879453,-120.7213555
100,Napa Valley,Napa,Aquinas winery,Aquinas winery Napa Valley,Aquinas winery Napa,38.2278574,-122.33351
101,Columbia Valley (WA),Columbia Valley,Buried Cane winery,Buried Cane winery Columbia Valley (WA),Buried Cane winery Columbia Valley,46.00475669999999,-118.3820092
102,Napa Valley,Napa,Mount Veeder winery,Mount Veeder winery Napa Valley,Mount Veeder winery Napa,38.349491,-122.3811162
103,Finger Lakes,Finger Lakes,Lucas Vineyards winery,Lucas Vineyards winery Finger Lakes,Lucas Vineyards winery Finger Lakes,42.62787,-76.71015400000002
104,Knights Valley,Sonoma,Beringer winery,Beringer winery Knights Valley,Beringer winery Sonoma,38.5110703,-122.4807177
105,Central Coast,Central Coast,Clos La Chance winery,Clos La Chance winery Central Coast,Clos La Chance winery Central Coast,37.0726504,-121.6429343
106,Dry Creek Valley,Sonoma,Pezzi King winery,Pezzi King winery Dry Creek Valley,Pezzi King winery Sonoma,38.6060807,-122.8622921
107,Russian River Valley,Sonoma,Rochioli winery,Rochioli winery Russian River Valley,Rochioli winery Sonoma,38.53513340000001,-122.8672595
108,Diamond Mountain District,Napa,J. Davies winery,J. Davies winery Diamond Mountain District,J. Davies winery Napa,38.4983153,-122.4622038
109,Dundee Hills,Willamette Valley,Winderlea winery,Winderlea winery Dundee Hills,Winderlea winery Willamette Valley,45.2790236,-123.0429892
110,Sonoma Valley,Sonoma,Sebastiani winery,Sebastiani winery Sonoma Valley,Sebastiani winery Sonoma,38.2932328,-122.4494086
111,Rutherford,Napa,Vinoce winery,Vinoce winery Rutherford,Vinoce winery Napa,38.2859369,-122.2863383
112,Russian River Valley,Sonoma,Merriam winery,Merriam winery Russian River Valley,Merriam winery Sonoma,38.5785591,-122.8367895
113,Alexander Valley,Sonoma,Murphy-Goode winery,Murphy-Goode winery Alexander Valley,Murphy-Goode winery Sonoma,38.6097802,-122.8706907
114,Edna Valley,Central Coast,Kynsi winery,Kynsi winery Edna Valley,Kynsi winery Central Coast,35.1897777,-120.5815684
115,California,California Other,Cline winery,Cline winery California,Cline winery California Other,38.2141294,-122.458146
116,California,California Other,Vinavanti winery,Vinavanti winery California,Vinavanti winery California Other,32.7482915,-117.149456
117,Santa Barbara County,Central Coast,Vino V winery,Vino V winery Santa Barbara County,Vino V winery Central Coast,34.4141317,-119.6886868
118,Finger Lakes,Finger Lakes,McGregor winery,McGregor winery Finger Lakes,McGregor winery Finger Lakes,42.49823809999999,-77.102172
119,Finger Lakes,Finger Lakes,Miles winery,Miles winery Finger Lakes,Miles winery Finger Lakes,42.6172464,-76.9207974
120,California,California Other,Morro Bay winery,Morro Bay winery California,Morro Bay winery California Other,35.3664506,-120.8535241
121,Finger Lakes,Finger Lakes,Red Newt Cellars winery,Red Newt Cellars winery Finger Lakes,Red Newt Cellars winery Finger Lakes,42.5015145,-76.8670183
122,Columbia Valley (WA),Columbia Valley,Guardian winery,Guardian winery Columbia Valley (WA),Guardian winery Columbia Valley,47.7336617,-122.1425173
123,Walla Walla Valley (WA),Columbia Valley,Kerloo winery,Kerloo winery Walla Walla Valley (WA),Kerloo winery Columbia Valley,46.0684286,-118.3372642
124,California,California Other,Las Positas winery,Las Positas winery California,Las Positas winery California Other,37.6458024,-121.7704979
125,New York,New York Other,Lieb winery,Lieb winery New York,Lieb winery New York Other,41.0362351,-72.50452709999999
126,North Fork of Long Island,Long Island,Macari winery,Macari winery North Fork of Long Island,Macari winery Long Island,40.98655,-72.567985
127,Wahluke Slope,Columbia Valley,Milbrandt winery,Milbrandt winery Wahluke Slope,Milbrandt winery Columbia Valley,46.2195003,-119.7782864
128,Santa Ynez Valley,Central Coast,Ojai winery,Ojai winery Santa Ynez Valley,Ojai winery Central Coast,34.4473224,-119.2436071
129,Templeton Gap District,Central Coast,ONX winery,ONX winery Templeton Gap District,ONX winery Central Coast,35.5762116,-120.6886041
130,Snipes Mountain,Columbia Valley,Pomum winery,Pomum winery Snipes Mountain,Pomum winery Columbia Valley,47.7618975,-122.1494745
131,Santa Barbara County,Central Coast,Prospect 772 winery,Prospect 772 winery Santa Barbara County,Prospect 772 winery Central Coast,34.4141317,-119.6886868
132,Alexander Valley,Sonoma,Trione winery,Trione winery Alexander Valley,Trione winery Sonoma,38.687905,-122.8802704
133,Walla Walla Valley (WA),Columbia Valley,Walla Walla Vintners winery,Walla Walla Vintners winery Walla Walla Valley (WA),Walla Walla Vintners winery Columbia Valley,46.088215,-118.20394
134,Long Island,Long Island,Wölffer winery,Wölffer winery Long Island,Wölffer winery Long Island,40.94497810000001,-72.27760049999999
135,Sonoma Valley,Sonoma,Dunbar winery,Dunbar winery Sonoma Valley,Dunbar winery Sonoma,38.231282,-122.402864
136,Paso Robles,Central Coast,Flying Cloud winery,Flying Cloud winery Paso Robles,Flying Cloud winery Central Coast,35.244344,-120.6700822
137,Carneros,Napa-Sonoma,Robert Mondavi winery,Robert Mondavi winery Carneros,Robert Mondavi winery Napa-Sonoma,38.4414728,-122.4100923
138,Santa Maria Valley,Central Coast,Rusack winery,Rusack winery Santa Maria Valley,Rusack winery Central Coast,34.6376436,-120.1418336
139,Ribbon Ridge,Willamette Valley,Chehalem winery,Chehalem winery Ribbon Ridge,Chehalem winery Willamette Valley,45.313455,-122.9169173
140,Dundee Hills,Willamette Valley,Chehalem winery,Chehalem winery Dundee Hills,Chehalem winery Willamette Valley,45.299895,-122.969343
141,Willamette Valley,Willamette Valley,Domaine Serene winery,Domaine Serene winery Willamette Valley,Domaine Serene winery Willamette Valley,45.2704073,-123.0685637
142,Rutherford,Napa,Bell winery,Bell winery Rutherford,Bell winery Napa,38.3906149,-122.3447481
143,Napa Valley,Napa,Castello di Amorosa winery,Castello di Amorosa winery Napa Valley,Castello di Amorosa winery Napa,38.5585812,-122.5427528
144,Red Mountain,Columbia Valley,Sparkman winery,Sparkman winery Red Mountain,Sparkman winery Columbia Valley,47.7345797,-122.1481035
145,Sta. Rita Hills,Central Coast,Babcock winery,Babcock winery Sta. Rita Hills,Babcock winery Central Coast,34.66738,-120.33492
146,Sonoma County,Sonoma,Lyeth winery,Lyeth winery Sonoma County,Lyeth winery Sonoma,38.485519,-122.43762
147,Walla Walla Valley (WA),Columbia Valley,Zerba Cellars winery,Zerba Cellars winery Walla Walla Valley (WA),Zerba Cellars winery Columbia Valley,45.9952438,-118.3881715
148,Red Mountain,Columbia Valley,Insania winery,Insania winery Red Mountain,Insania winery Columbia Valley,42.7233615,-76.97690460000001
149,Finger Lakes,Finger Lakes,Knapp winery,Knapp winery Finger Lakes,Knapp winery Finger Lakes,42.7651455,-76.78271
150,El Dorado,Sierra Foothills,Lava Cap winery,Lava Cap winery El Dorado,Lava Cap winery Sierra Foothills,38.75147270000001,-120.7405121
151,Suisun Valley,North Coast,MICA Cellars winery,MICA Cellars winery Suisun Valley,MICA Cellars winery North Coast,38.2870883,-122.1184843
152,Carneros,Napa-Sonoma,Michael Pozzan winery,Michael Pozzan winery Carneros,Michael Pozzan winery Napa-Sonoma,38.2997101,-122.2892802
153,Lodi,Central Valley,Fenestra winery,Fenestra winery Lodi,Fenestra winery Central Valley,37.6418073,-121.7959684
154,Russian River Valley,Sonoma,Hanna winery,Hanna winery Russian River Valley,Hanna winery Sonoma,38.42353749999999,-122.8079337
155,Wahluke Slope,Columbia Valley,Camaraderie winery,Camaraderie winery Wahluke Slope,Camaraderie winery Columbia Valley,48.1007319,-123.4773857
156,Yakima Valley,Columbia Valley,Camaraderie winery,Camaraderie winery Yakima Valley,Camaraderie winery Columbia Valley,48.1007319,-123.4773857
157,Napa Valley,Napa,Beringer winery,Beringer winery Napa Valley,Beringer winery Napa,38.5110703,-122.4807177
158,Monterey County,Central Coast,Big Basin winery,Big Basin winery Monterey County,Big Basin winery Central Coast,36.9665305,-122.024688
159,Chiles Valley,Napa,Conn Creek winery,Conn Creek winery Chiles Valley,Conn Creek winery Napa,38.4862203,-122.4048709
160,Sonoma Coast,Sonoma,D.R. Stephens winery,D.R. Stephens winery Sonoma Coast,D.R. Stephens winery Sonoma,38.5473684,-122.4883438
161,Russian River Valley,Sonoma,Davis Family winery,Davis Family winery Russian River Valley,Davis Family winery Sonoma,38.6061358,-122.8614058
162,Calaveras County,Sierra Foothills,Prospect 772 winery,Prospect 772 winery Calaveras County,Prospect 772 winery Sierra Foothills,38.038356,-120.624826
163,Edna Valley,Central Coast,Qupé winery,Qupé winery Edna Valley,Qupé winery Central Coast,34.9188867,-120.2983681
164,Willamette Valley,Willamette Valley,Rex Hill winery,Rex Hill winery Willamette Valley,Rex Hill winery Willamette Valley,45.3145624,-122.9205726
165,Chehalem Mountains,Willamette Valley,Ruby winery,Ruby winery Chehalem Mountains,Ruby winery Willamette Valley,45.40038819999999,-122.9869325
166,Horse Heaven Hills,Columbia Valley,Structure winery,Structure winery Horse Heaven Hills,Structure winery Columbia Valley,47.5679264,-122.3353923
167,Arroyo Grande Valley,Central Coast,Testarossa winery,Testarossa winery Arroyo Grande Valley,Testarossa winery Central Coast,37.21347799999999,-121.981544
168,Dundee Hills,Willamette Valley,Tumwater winery,Tumwater winery Dundee Hills,Tumwater winery Willamette Valley,45.3349294,-122.6793569
169,Russian River Valley,Sonoma,Joseph Jewell winery,Joseph Jewell winery Russian River Valley,Joseph Jewell winery Sonoma,38.4735164,-122.8910325
170,Oregon,Oregon Other,Le Cadeau winery,Le Cadeau winery Oregon,Le Cadeau winery Oregon Other,45.2725028,-123.0161155
171,Paso Robles,Central Coast,Le Vigne winery,Le Vigne winery Paso Robles,Le Vigne winery Central Coast,35.6743813,-120.6591659
172,Walla Walla Valley (WA),Columbia Valley,Northstar winery,Northstar winery Walla Walla Valley (WA),Northstar winery Columbia Valley,46.0121642,-118.3645695
173,Napa Valley,Napa,Padis winery,Padis winery Napa Valley,Padis winery Napa,38.3341214,-122.3433174
174,Umpqua Valley,Southern Oregon,Paul O'Brien winery,Paul O'Brien winery Umpqua Valley,Paul O'Brien winery Southern Oregon,43.20934099999999,-123.3466484
175,Santa Maria Valley,Central Coast,Flying Goat Cellars winery,Flying Goat Cellars winery Santa Maria Valley,Flying Goat Cellars winery Central Coast,34.6427723,-120.4389086
176,Napa Valley,Napa,Midsummer Cellars winery,Midsummer Cellars winery Napa Valley,Midsummer Cellars winery Napa,38.5614758,-122.4968884
177,Napa Valley,Napa,Les Belles Collines winery,Les Belles Collines winery Napa Valley,Les Belles Collines winery Napa,38.4121687,-122.3369596
178,Sonoma Coast,Sonoma,Lutum winery,Lutum winery Sonoma Coast,Lutum winery Sonoma,38.32503210000001,-123.0394037
179,Ballard Canyon,Central Coast,Turiya winery,Turiya winery Ballard Canyon,Turiya winery Central Coast,34.6427876,-120.4528789
180,Green Valley,Sonoma,Iron Horse winery,Iron Horse winery Green Valley,Iron Horse winery Sonoma,38.4561761,-122.8987137
181,Carneros,Napa-Sonoma,Artesa winery,Artesa winery Carneros,Artesa winery Napa-Sonoma,38.269161,-122.355377
182,Sonoma Valley,Sonoma,Carlisle winery,Carlisle winery Sonoma Valley,Carlisle winery Sonoma,38.52028869999999,-122.8420798
183,Horse Heaven Hills,Columbia Valley,Passing Time winery,Passing Time winery Horse Heaven Hills,Passing Time winery Columbia Valley,47.7639524,-122.1493676
184,Santa Maria Valley,Central Coast,Sanctuary winery,Sanctuary winery Santa Maria Valley,Sanctuary winery Central Coast,34.9192005,-120.4601559
185,Sierra Foothills,Sierra Foothills,Terre Rouge winery,Terre Rouge winery Sierra Foothills,Terre Rouge winery Sierra Foothills,38.5203473,-120.8238529
186,Russian River Valley,Sonoma,Limerick Lane winery,Limerick Lane winery Russian River Valley,Limerick Lane winery Sonoma,38.5882774,-122.8300055
187,Sonoma Coast,Sonoma,Loring Wine Company winery,Loring Wine Company winery Sonoma Coast,Loring Wine Company winery Sonoma,34.6144876,-120.1994083
188,Napa Valley,Napa,Eighty Four winery,Eighty Four winery Napa Valley,Eighty Four winery Napa,38.4082051,-122.3149759
189,Sta. Rita Hills,Central Coast,Flying Goat Cellars winery,Flying Goat Cellars winery Sta. Rita Hills,Flying Goat Cellars winery Central Coast,34.6427723,-120.4389086
190,Paso Robles,Central Coast,Four Lanterns winery,Four Lanterns winery Paso Robles,Four Lanterns winery Central Coast,35.5690204,-120.7403535
191,Central Coast,Central Coast,Turiya winery,Turiya winery Central Coast,Turiya winery Central Coast,34.6427876,-120.4528789
192,Napa Valley,Napa,World's End winery,World's End winery Napa Valley,World's End winery Napa,42.5509941,-83.04756789999999
193,Howell Mountain,Napa,W.H. Smith winery,W.H. Smith winery Howell Mountain,W.H. Smith winery Napa,38.576476,-122.458354
194,Columbia Valley (WA),Columbia Valley,Alleromb winery,Alleromb winery Columbia Valley (WA),Alleromb winery Columbia Valley,46.0579552,-118.3668463
195,Yakima Valley,Columbia Valley,Ardor winery,Ardor winery Yakima Valley,Ardor winery Columbia Valley,46.5845833,-120.5306666
196,Yolo County,Central Valley,Berryessa Gap winery,Berryessa Gap winery Yolo County,Berryessa Gap winery Central Valley,38.5137584,-122.0032452
197,Finger Lakes,Finger Lakes,Chateau Lafayette Reneau winery,Chateau Lafayette Reneau winery Finger Lakes,Chateau Lafayette Reneau winery Finger Lakes,42.4794231,-76.87088229999999
198,California,California Other,Cupcake winery,Cupcake winery California,Cupcake winery California Other,37.6589526,-121.7345797
199,Washington,Washington Other,Raconteur winery,Raconteur winery Washington,Raconteur winery Washington Other,47.7687792,-122.1499651
200,Columbia Gorge (WA),Washington Other,Savage Grace winery,Savage Grace winery Columbia Gorge (WA),Savage Grace winery Washington Other,45.7384932,-121.5580406
201,Wahluke Slope,Columbia Valley,Seven Falls winery,Seven Falls winery Wahluke Slope,Seven Falls winery Columbia Valley,46.7498928,-119.8342096
202,Santa Cruz Mountains,Central Coast,Silvertip winery,Silvertip winery Santa Cruz Mountains,Silvertip winery Central Coast,37.15621429999999,-122.013764
203,Yakima Valley,Columbia Valley,Stevens winery,Stevens winery Yakima Valley,Stevens winery Columbia Valley,47.7618933,-122.1498276
204,Paso Robles,Central Coast,Vintage Cowboy winery,Vintage Cowboy winery Paso Robles,Vintage Cowboy winery Central Coast,35.3046535,-120.3743501
