,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery_name,Latitude,Longitude,Min_temp,Max_temp,Precip,Humidity,Heat_Index,review_neg,review_neu,review_pos
180,US,"Herbal and tight, with a whiff of burnt rubber in front of some tart fruit. There is some concentration, and with more bottle age the wine may yet flesh out a bit.",Chelle den Millie Vineyard,86,36,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2008 Chelle den Millie Vineyard Malbec (Columbia Valley (WA)),Malbec,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,1,0
181,US,"100% varietal, this wine exhibits aromas of dried herb, cigar box, and cherry. The flavors are tart, light and elegant, harmonizing on the finish.",Estate,89,36,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2011 Estate Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.8,0.2
182,US,"Herb, flower and exotic spice aromas lead to broad creamy-feeling fruit flavors that persist on the finish.",Red Wine,88,36,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Red Wine Malbec (Columbia Valley (WA)),Malbec,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,1,0
183,US,"After almost losing a finger struggling to remove the rock-hard faux wax “capsule” I found this strawberry/cherry cordial-flavored wine quite pleasant. The fruit, from a Rattlesnake Hills vineyard, has a sweet core, while the tannins add an earthy streak of green tea.",Chelle den Millie Reserve,87,36,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2005 Chelle den Millie Reserve Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0.107,0.748,0.145
184,US,"Aromas of red fruit, cherry meat, herb and pencil lead are followed by full fruit flavors. It pulls up on the finish.",,87,36,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,1,0
185,US,"The aromas bring notes of dried and fresh herb, citrus twist, baking spice, wood spice and cherry. The cherry and pencil lead flavors show a sense of poise and polish.",Estate,88,36,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2012 Estate Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.924,0.076
186,US,"Roughly three-fifths Merlot and two fifths Cabernet Franc. Though the blend and oak treatment are quite similar to the 2005, this new release comes out with far better balance and structure. The oak flavors are lighter, the tannins are polished and lightly herbal, as befits Cabernet Franc, and there is a hint of steel in the backbone of this tight, svelte effort.",Inspired Red,90,40,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2006 Inspired Red Red (Columbia Valley (WA)),Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.954,0.046
187,US,"Already a full five-years-old, this cool vintage wine brings aromas of freshly brewed coffee, baking spice, vanilla, green herb and tobacco. The flavors are light and elegant, showing a pretty styling but the concentration doesn't always seem fully there.",Estate,87,34,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2011 Estate Malbec (Columbia Valley (WA)),Malbec,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.851,0.149
188,US,"This blend of Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot offers aromas of cranberry, cherry, mesquite, vanilla and herb. The fruit flavors are sleek and elegant, lingering on the finish.",Claret,88,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Claret Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.906,0.094
189,US,"Hailing from the cool 2010 vintage, this 100% varietal wine leads with barrel aromas of vanilla and freshly hewn wood followed by medicine cabinet and dried cherry, seeming advanced for its years. The flavors are elegant in style with the concentration a bit wanting.",Estate,87,32,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2010 Estate Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.844,0.156
190,US,"The flavors are herbal, the tannins a little green, but no rough edges have been left. Could be a good burger bottle.",The Earth Series - Volume 1,85,22,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2007 The Earth Series - Volume 1 Red (Columbia Valley (WA)),Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0.099,0.742,0.159
191,US,"Herbal and tight, with a whiff of burnt rubber in front of some tart fruit. There is some concentration, and with more bottle age the wine may yet flesh out a bit.",Chelle den Millie Vineyard,86,36,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2008 Chelle den Millie Vineyard Malbec (Columbia Valley (WA)),Malbec,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,1,0
192,US,"Cabernet Sauvignon and Merlot make up three-quarters of this blend. Subtle aromas of baking spice, vanilla and cherry lead to tart well-proportioned pit-fruit flavors. It shows a fine sense of balance.",Estate Merriment,91,48,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2012 Estate Merriment Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.942,0.058
193,US,"Quite light, suggesting fruit that was picked at less than optimal ripeness. This thin wine has tart red fruit, a streak of caraway seed and a finish with sweet cracker highlights.",Inspired Red,86,40,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2008 Inspired Red Red (Columbia Valley (WA)),Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.838,0.162
194,US,"Aromas of Band Aid nearly overwhelm this wine's notes of dried cherry. Flavors are lighter in style, backed by firm tannins.",Estate Inspired,83,40,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2010 Estate Inspired Red (Columbia Valley (WA)),Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0.078,0.872,0.05
195,US,"Aromas of vanilla, spice box, toast and jammy red fruit are followed by quite elegant fruit flavors. The tannins seem a bit bunched up.",,88,34,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2011 Merlot (Columbia Valley (WA)),Merlot,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.866,0.134
196,US,"This wine carries a new label, very spare; the drawing of house and vineyard is gone; it's all white with simple type. The wine is simple, soapy, light and showing just a watery impression of citrus, banana and tropical fruits.",,83,24,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Basel Cellars 2007 Chardonnay (Columbia Valley (WA)),Chardonnay,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.951,0.049
197,US,"Cabernet Sauvignon (45%) and Cabernet Franc (42%) take the lead on this blend. The aromas suggest notes of dried herb, cherry, vanilla and pencil shavings while the palate offers elegantly styled dark-fruit flavors with toasty accents. It's a very pretty expression of the vintage.",Claret,90,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2011 Claret Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.865,0.135
198,US,"An uneasy mix of Band Aid, medicine cabinet, woodspice and licorice aromas rises up from this blend of 50% Cabernet Sauvignon and equal parts Merlot and Cabernet Franc. The dark fruit flavors are medium bodied, backed by gritty tannins.",Estate Merriment,86,40,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2010 Estate Merriment Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0.064,0.909,0.027
199,US,"Hailing from the cool 2010 vintage, this 100% varietal wine leads with barrel aromas of vanilla and freshly hewn wood followed by medicine cabinet and dried cherry, seeming advanced for its years. The flavors are elegant in style with the concentration a bit wanting.",Estate,87,32,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2010 Estate Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.844,0.156
200,US,"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",,86,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller winery,47.7299119,-122.1508226,16.3,103.2,25.86,73.58,106.1,0,1,0
201,US,"After starting out quite reduced on first pour, this wine reveals slightly sweet black-fruit flavors. A light grip of tannins provide support.",,85,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2014 Merlot (Columbia Valley (WA)),Merlot,Drumheller winery,47.7299119,-122.1508226,16.3,103.2,25.86,73.58,106.1,0,0.778,0.222
202,US,"Though labeled as Merlot, this smells more like Syrah which makes up 20% of the blend, with aromas of blue and purple fruit along with whiffs of smoked meat and dried herb. The fruit flavors are sweet and plump, backed by soft, luxurious tannins. It's enjoyable but doesn't seem varietally correct.",,87,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2015 Merlot (Columbia Valley (WA)),Merlot,Drumheller winery,47.7299119,-122.1508226,16.3,103.2,25.86,73.58,106.1,0,0.872,0.128
203,US,"Though labeled as Merlot, this smells more like Syrah which makes up 20% of the blend, with aromas of blue and purple fruit along with whiffs of smoked meat and dried herb. The fruit flavors are sweet and plump, backed by soft, luxurious tannins. It's enjoyable but doesn't seem varietally correct.",,87,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2015 Merlot (Columbia Valley (WA)),Merlot,Drumheller winery,47.7299119,-122.1508226,16.3,103.2,25.86,73.58,106.1,0,0.872,0.128
204,US,"The aromas of plum and blue fruit bring appeal but don't seem entirely varietal. Flavors are sweet, backed by lightly tacky-feeling tannins. It delivers easy-drinking enjoyment, though characteristics of the variety seems hard to find.",,86,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2015 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Drumheller winery,47.7299119,-122.1508226,16.3,103.2,25.86,73.58,106.1,0.038,0.727,0.236
205,US,"Aromas pop, with notes of starfruit, cantaloupe, apple, butter and spice. The palate is broad with a lightly creamy feel, speckled throughout with cardamom notes.",,87,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2015 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller winery,47.7299119,-122.1508226,16.3,103.2,25.86,73.58,106.1,0,1,0
238,US,"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",,86,20,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Palencia 2016 Albariño (Ancient Lakes),Albariño,Palencia winery,46.2874669,-119.3918724,3.8,116.4,4.56,58.98,110.9,0,0.841,0.159
239,US,"Pale in color, this wine offers bright aromas of potpourri and strawberry. The red-fruit flavors are full in feel, seeming overweighted at times but still bringing enjoyment, with a mouthwatering finish.",,89,36,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Palencia 2015 Pinot Noir (Ancient Lakes),Pinot Noir,Palencia winery,46.2874669,-119.3918724,3.8,116.4,4.56,58.98,110.9,0,0.803,0.197
289,US,"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",Grand Klasse Reserve Lawrence Vineyards,88,22,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.955,0.045
290,US,"Tart and juicy, this nicely balanced Riesling mixes fruit flavors of orange, Meyer lemon and tangerine. The acids are natural and tangy, and the overall balance is just right.",Lawrence Vineyards Dry,88,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2010 Lawrence Vineyards Dry Riesling (Columbia Valley (WA)),Riesling,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.821,0.179
291,US,"A blend of Syrah (68%), Grenache (29%) and Viognier, this wine brings pungent, directly appealing aromas of smoked meat, blue fruit, black olive, orange peel and high-toned flowers. The blue and black-fruit and smoked-meat flavors are silky and well constructed with a finish that lingers.",Vaucluse Lawrence Vineyards,92,35,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Vaucluse Lawrence Vineyards Red (Columbia Valley (WA)),Rhône-style Red Blend,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.952,0.048
292,US,"Brooding aromas of huckleberry, orange peel and flowers are followed by seamless full-bodied palate-coating blue-fruit flavors. It's far from shy but delivers the goods.",Grand Klasse Reserve Lawrence Vineyards,93,50,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2013 Grand Klasse Reserve Lawrence Vineyards Syrah (Columbia Valley (WA)),Syrah,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0.061,0.896,0.043
293,US,"This wine has unusual, penetrating, floral aromatics and a liqueur-like character. It was fermented in a mix of new and neutral French oak, and a caramel character comes in as the wine breathes open. Citrus peel and floral flavors remain through an extended finish.",Lawrence Vineyards Grand Klasse,89,22,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2012 Lawrence Vineyards Grand Klasse Pinot Gris (Columbia Valley (WA)),Pinot Gris,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,1,0
294,US,"Aromas of beeswax and lemon oil, the flavors following along with tangerine, orange and peach. Very dry, with exceptional concentration of fruit, and well-integrated flavors of cracker and grain. This was barrel fermented, and delivers a long, concentrated finish.",Lawrence Vineyards Dry,90,18,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2007 Lawrence Vineyards Dry Riesling (Columbia Valley (WA)),Riesling,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,1,0
295,US,"Rich and full bodied, despite the relatively low alcohol, this supertart and luscious Riesling is loaded with sour candy flavors of lemon and lime. Quite refreshing, pure and dry.",Lawrence Vineyards,89,17,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2011 Lawrence Vineyards Riesling (Columbia Valley (WA)),Riesling,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.833,0.167
296,US,"This appealing wine offers notes of fresh blue plums, huckleberry, tire rubber and woodspice. The flavors show purity, intensity and length—a very pretty example of the variety.",Lawrence Vineyards,89,30,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2012 Lawrence Vineyards Malbec (Columbia Valley (WA)),Malbec,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.812,0.188
297,US,"A pale bronze color, this 100% Grenache rosé brings aromas of lime zest, strawberry and pear. Lightly spritzy, it drinks dry, with tart, elegantly styled fruit flavors. Orange-rind flavors persist on the finish.",Grand Klasse Reserve Grenache Lawrence Vineyards,88,22,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2016 Grand Klasse Reserve Grenache Lawrence Vineyards Rosé (Columbia Valley (WA)),Rosé,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.914,0.086
298,US,"Bone dry and concentrated, it was fermented in a mix of stainless steel and neutral oak. Lush floral and citrus aromatics carry over into the flavors, with a streak of Curaçao liqueur as well.",Lawrence Vineyards,90,14,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2012 Lawrence Vineyards Riesling (Columbia Valley (WA)),Riesling,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.937,0.063
299,US,"This rather exotic Riesling was fermented and aged in barrels, 43% new, and the rest once-used. The barrel treatment takes it away from any ordinary Riesling characteristics, yielding a wine that has much in common with Viognier—floral and buttery, with substantial alcohol.",Lawrence Vineyards Grand Klasse,91,22,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2012 Lawrence Vineyards Grand Klasse Riesling (Columbia Valley (WA)),Riesling,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.957,0.043
300,US,"The aromas pop, with notes of jammy dark cherry, dried black currant, black licorice and baking spices. The dried-fruit flavors are full, with a dry squeeze of tannins. It seems a bit evolved for its age.",Grand Klasse,90,55,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2012 Grand Klasse Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,1,0
301,US,"The aromas bring notes of blackberries and black cherries, along with vanilla grace notes. The palate is full bodied, with dark-fruit flavors that show a sense of grace.",Grand Klasse Reserve Lawrence Vineyards,90,55,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2013 Grand Klasse Reserve Lawrence Vineyards Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.817,0.183
302,US,"This opens with vibrant aromas of green olive, herbs and fresh asparagus along with dark cherry. Not shy, the full-bodied, tightly wound flavors bring a core of dark fruit and savory flavors that persist on the finish.",Thunderstone Lawrence Vineyards,92,35,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2013 Thunderstone Lawrence Vineyards Syrah (Columbia Valley (WA)),Syrah,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.816,0.184
303,US,"A 53% Syrah-47% Cabernet Sauvignon blend, finished at a moderate 13.5% alcohol. There  are pretty aromas, floral and bready, with hints of darker fruits. A rather soft, medium-bodied, fruit-forward wine, with plum and cherry, and a bit of cocoa in the finish.",Lawrence Vineyards Don Isidro Red Wine,87,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2006 Lawrence Vineyards Don Isidro Red Wine Red (Columbia Valley (WA)),Red Blend,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.92,0.08
304,US,"This 100% varietal wine is lightly aromatic with peach, almond and pumpkin. It's cleanly made but the flavors seem dilute.",Lawrence Vineyards,84,14,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2013 Lawrence Vineyards Roussanne (Columbia Valley (WA)),Roussanne,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,1,0
305,US,"This wine offers dark coffee, green olive, savory notes and barrel spices. The flavors are lighter in style but with good concentration backed by firm, lipsmacking tannins.",Lawrence Vineyards,87,35,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2012 Lawrence Vineyards Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.833,0.167
306,US,"Though aged in neutral French oak, the wood shows fairly prominently, with vanilla and woodspice out in front of the lees and almond. The flavors are off dry with the variety seeming to get lost between the staves.",Grand Klasse Lawrence Vineyards,85,22,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2013 Grand Klasse Lawrence Vineyards Pinot Gris (Columbia Valley (WA)),Pinot Gris,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0.059,0.941,0
307,US,"This wine starts out lightly reduced, with aromas of apple and baking spice followed by a full weighty just-off-dry palate, with a touch of warmth on the finish that adds some bitterness.",Grand Klasse Reserve Lawrence Vineyards,87,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Pinot Gris (Columbia Valley (WA)),Pinot Gris,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0.08,0.831,0.089
308,US,"Packaged in a lovely, Champagne-like bottle (but without a cage), this is very pretty, with a hint of cherry candy. The palate is round, full and forward. This is a wine to set on the table for a special occasion—but don't wait too long.",Lawrence Vineyards Grand Klasse,89,28,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2011 Lawrence Vineyards Grand Klasse Rosé (Columbia Valley (WA)),Rosé,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.783,0.217
309,US,"This wine is pale peach in color. The 100% Grenache, the wood influence (100% new 500L French oak) is almost completely overwhelming, showing notes of vanillin, wood spice and cream. It lightens up a bit on the dry palate but still can't make up the difference.",Lawrence Vineyards,85,40,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2015 Lawrence Vineyards Rosé (Columbia Valley (WA)),Rosé,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,1,0
310,US,"Notes of melon and citrus rind are annotated with a fresh green-herb scent. Decant this tight, compressed white wine.",Lawrence Vineyards,87,22,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2011 Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård winery,46.9950333,-120.5474648,-8.8,114.1,7.93,58.71,107.1,0,0.881,0.119
